show,season,episode_n,season_n,title,director,writer,air_date
The Mandalorian,Season 1,1,1,Chapter 1: The Mandalorian,Dave Filoni,Jon Favreau,12-Nov-19
The Mandalorian,Season 1,2,2,Chapter 2: The Child,Rick Famuyiwa,Jon Favreau,15-Nov-19
The Mandalorian,Season 1,3,3,Chapter 3: The Sin,Deborah Chow,Jon Favreau,22-Nov-19
The Mandalorian,Season 1,4,4,Chapter 4: Sanctuary,Bryce Dallas Howard,Jon Favreau,29-Nov-19
The Mandalorian,Season 1,5,5,Chapter 5: The Gunslinger,Dave Filoni,Dave Filoni,6-Dec-19
The Mandalorian,Season 1,6,6,Chapter 6: The Prisoner,Rick Famuyiwa,Story by : Christopher Yost,13-Dec-19
The Mandalorian,Season 1,7,7,Chapter 7: The Reckoning,Deborah Chow,Jon Favreau,18-Dec-19
The Mandalorian,Season 1,8,8,Chapter 8: Redemption,Taika Waititi,Jon Favreau,27-Dec-19
The Mandalorian,Season 1,9,1,Chapter 9: The Marshal,Jon Favreau,Jon Favreau,30-Oct-20
The Mandalorian,Season 2,10,2,Chapter 10: The Passenger,Peyton Reed,Jon Favreau,6-Nov-20
The Mandalorian,Season 2,11,3,Chapter 11: The Heiress,Bryce Dallas Howard,Jon Favreau,13-Nov-20
The Mandalorian,Season 2,12,4,Chapter 12: The Siege,Carl Weathers,Jon Favreau,20-Nov-20
The Mandalorian,Season 2,13,5,Chapter 13: The Jedi,Dave Filoni,Dave Filoni,27-Nov-20
The Mandalorian,Season 2,14,6,Chapter 14: The Tragedy,Robert Rodriguez,Jon Favreau,4-Dec-20
The Mandalorian,Season 2,15,7,Chapter 15: The Believer,Rick Famuyiwa,Rick Famuyiwa,11-Dec-20
The Mandalorian,Season 2,16,8,Chapter 16: The Rescue,Peyton Reed,Jon Favreau,18-Dec-20
The Mandalorian,Season 2,17,1,Chapter 17: The Apostate,Rick Famuyiwa,Jon Favreau,1-Mar-23
The Mandalorian,Season 2,18,2,Chapter 18: The Mines of Mandalore,Rachel Morrison,Jon Favreau,8-Mar-23
The Mandalorian,Season 2,19,3,Chapter 19: The Convert,Lee Isaac Chung,Noah Kloor & Jon Favreau,15-Mar-23
The Mandalorian,Season 2,20,4,Chapter 20: The Foundling,Carl Weathers,Jon Favreau & Dave Filoni,22-Mar-23
The Mandalorian,Season 2,21,5,Chapter 21: The Pirate,Peter Ramsey,Jon Favreau,29-Mar-23
The Mandalorian,Season 2,22,6,Chapter 22: Guns for Hire,Bryce Dallas Howard,Jon Favreau,5-Apr-23
The Mandalorian,Season 2,23,7,Chapter 23: The Spies,Rick Famuyiwa,Jon Favreau & Dave Filoni,12-Apr-23
The Mandalorian,Season 2,24,8,Chapter 24: The Return,Rick Famuyiwa,Jon Favreau,19-Apr-23
NCIS,Season Season 1 (2003–04),1,1,Yankee White,Donald P. Bellisario,,23-Sep-03
NCIS,Season Season 1 (2003–04),2,2,Hung Out to Dry,Alan J. Levi,Don McGill,30-Sep-03
NCIS,Season Season 1 (2003–04),3,3,Seadog,Bradford May,John C. Kelley & Donald P. Bellisario,7-Oct-03
NCIS,Season Season 1 (2003–04),4,4,The Immortals,Alan J. Levi,Darcy Meyers,14-Oct-03
NCIS,Season Season 1 (2003–04),5,5,The Curse,Terrence O'Hara,Teleplay by : Don McGill & Jeff Vlaming & Donald P. Bellisario,28-Oct-03
NCIS,Season Season 1 (2003–04),6,6,High Seas,Dennis Smith,Teleplay by : Jeff Vlaming & Larry Moskowitz,4-Nov-03
NCIS,Season Season 1 (2003–04),7,7,Sub Rosa,Michael Zinberg,George Schenck & Frank Cardea,18-Nov-03
NCIS,Season Season 1 (2003–04),8,8,Minimum Security,Ian Toynton,"Philip DeGuere, Jr. & Donald P. Bellisario",25-Nov-03
NCIS,Season Season 1 (2003–04),9,9,Marine Down,Dennis Smith,John C. Kelley,16-Dec-03
NCIS,Season Season 1 (2003–04),10,10,Left for Dead,James Whitmore Jr.,Teleplay by : Don McGill & Donald P. Bellisario,6-Jan-04
NCIS,Season Season 1 (2003–04),11,11,Eye Spy,Alan J. Levi,George Schenck & Frank Cardea & Dana Coen,13-Jan-04
NCIS,Season Season 1 (2003–04),12,12,My Other Left Foot,Jeff Woolnough,Jack Bernstein,3-Feb-04
NCIS,Season Season 1 (2003–04),13,13,"One Shot, One Kill",Peter Ellis,Gil Grant,10-Feb-04
NCIS,Season Season 1 (2003–04),14,14,The Good Samaritan,Alan J. Levi,Jack Bernstein,17-Feb-04
NCIS,Season Season 1 (2003–04),15,15,Enigma,Thomas J. Wright,John C. Kelley,24-Feb-04
NCIS,Season Season 1 (2003–04),16,16,Bête Noire,Peter Ellis,Donald P. Bellisario,2-Mar-04
NCIS,Season Season 1 (2003–04),17,17,The Truth Is Out There,Dennis Smith,Jack Bernstein,16-Mar-04
NCIS,Season Season 1 (2003–04),18,18,UnSEALeD,Peter Ellis,Thomas L. Moran,6-Apr-04
NCIS,Season Season 1 (2003–04),19,19,Dead Man Talking,Dennis Smith,George Schenck & Frank Cardea,27-Apr-04
NCIS,Season Season 1 (2003–04),20,20,Missing,Jeff Woolnough,John C. Kelley,4-May-04
NCIS,Season Season 1 (2003–04),21,21,Split Decision,Terrence O'Hara,Bob Gookin,11-May-04
NCIS,Season Season 1 (2003–04),22,22,A Weak Link,Alan J. Levi,Jack Bernstein,18-May-04
NCIS,Season Season 1 (2003–04),23,23,Reveille,Thomas J. Wright,Donald P. Bellisario,25-May-04
NCIS,Season Season 2 (2004–05),24,1,See No Evil,Thomas J. Wright,Chris Crowe,28-Sep-04
NCIS,Season Season 2 (2004–05),25,2,The Good Wives Club,Dennis Smith,Gil Grant,5-Oct-04
NCIS,Season Season 2 (2004–05),26,3,Vanished,James Whitmore Jr.,George Schenck & Frank Cardea,12-Oct-04
NCIS,Season Season 2 (2004–05),27,,Lt. Jane Doe,James Whitmore Jr.,Story by : Steven Long Mitchell & Craig W. Van Sickle,
NCIS,Season Season 2 (2004–05),28,5,The Bone Yard,Terrence O'Hara,John C. Kelley,26-Oct-04
NCIS,Season Season 2 (2004–05),29,6,Terminal Leave,Jeff Woolnough,Roger Director,16-Nov-04
NCIS,Season Season 2 (2004–05),30,7,Call of Silence,Thomas J. Wright,Roger Director,23-Nov-04
NCIS,Season Season 2 (2004–05),31,8,Heart Break,Dennis Smith,George Schenck & Frank Cardea,30-Nov-04
NCIS,Season Season 2 (2004–05),32,9,Forced Entry,Dennis Smith,Jesse Stern & John C. Kelley,7-Dec-04
NCIS,Season Season 2 (2004–05),33,10,Chained,Thomas J. Wright,Frank Military,14-Dec-04
NCIS,Season Season 2 (2004–05),34,11,Black Water,Terrence O'Hara,Story by : Juan Carlos Coto,
NCIS,Season Season 2 (2004–05),35,12,Doppelgänger,Terrence O'Hara,Jack Bernstein,18-Jan-05
NCIS,Season Season 2 (2004–05),36,13,The Meat Puzzle,Thomas J. Wright,Frank Military,8-Feb-05
NCIS,Season Season 2 (2004–05),37,14,Witness,James Whitmore Jr.,George Schenck & Frank Cardea,15-Feb-05
NCIS,Season Season 2 (2004–05),38,15,Caught on Tape,Jeff Woolnough,Chris Crowe & Gil Grant & John C. Kelley,22-Feb-05
NCIS,Season Season 2 (2004–05),39,16,Pop Life,Thomas J. Wright,Frank Military,1-Mar-05
NCIS,Season Season 2 (2004–05),40,17,An Eye for an Eye,Dennis Smith,Steven Kane,22-Mar-05
NCIS,Season Season 2 (2004–05),41,18,Bikini Wax,Stephen Cragg,David J. North,29-Mar-05
NCIS,Season Season 2 (2004–05),42,19,Conspiracy Theory,Jeff Woolnough,Frank Military,12-Apr-05
NCIS,Season Season 2 (2004–05),43,20,Red Cell,Dennis Smith,Christopher Silber,26-Apr-05
NCIS,Season Season 2 (2004–05),44,21,Hometown Hero,James Whitmore Jr.,George Schenck & Frank Cardea,3-May-05
NCIS,Season Season 2 (2004–05),45,22,SWAK,Dennis Smith,Donald P. Bellisario,10-May-05
NCIS,Season Season 2 (2004–05),46,23,Twilight,Thomas J. Wright,John C. Kelley,24-May-05
NCIS,Season Season 3 (2005–06),47,1,Kill Ari (Part I),Dennis Smith,Donald P. Bellisario,20-Sep-05
NCIS,Season Season 3 (2005–06),48,2,Kill Ari (Part II),James Whitmore Jr.,Donald P. Bellisario,27-Sep-05
NCIS,Season Season 3 (2005–06),49,3,Mind Games,William Webb,Teleplay by : Jeffrey A. Kirkpatrick & John C. Kelley,4-Oct-05
NCIS,Season Season 3 (2005–06),50,4,Silver War,Terrence O'Hara,Teleplay by : John C. Kelley,11-Oct-05
NCIS,Season Season 3 (2005–06),51,5,Switch,Thomas J. Wright,Gil Grant,18-Oct-05
NCIS,Season Season 3 (2005–06),52,6,The Voyeur's Web,Dennis Smith,David J. North,25-Oct-05
NCIS,Season Season 3 (2005–06),53,7,Honor Code,Colin Bucksey,Christopher Silber,1-Nov-05
NCIS,Season Season 3 (2005–06),54,8,Under Covers,Aaron Lipstadt,L.D. Zlotoff,8-Nov-05
NCIS,Season Season 3 (2005–06),55,9,Frame Up,Thomas J. Wright,Laurence Walsh,22-Nov-05
NCIS,Season Season 3 (2005–06),56,10,Probie,Terrence O'Hara,George Schenck & Frank Cardea,29-Nov-05
NCIS,Season Season 3 (2005–06),57,11,Model Behavior,Stephen Cragg,David J. North,13-Dec-05
NCIS,Season Season 3 (2005–06),58,12,Boxed In,Dennis Smith,Dana Coen,10-Jan-06
NCIS,Season Season 3 (2005–06),59,13,Deception,Leslie Libman,Jack Bernstein,17-Jan-06
NCIS,Season Season 3 (2005–06),60,14,Light Sleeper,Colin Bucksey,Christopher Silber,24-Jan-06
NCIS,Season Season 3 (2005–06),61,15,Head Case,Dennis Smith,George Schenck & Frank Cardea,7-Feb-06
NCIS,Season Season 3 (2005–06),62,16,Family Secret,James Whitmore Jr.,Steven D. Binder,28-Feb-06
NCIS,Season Season 3 (2005–06),63,17,Ravenous,Thomas J. Wright,Richard C. Arthur,7-Mar-06
NCIS,Season Season 3 (2005–06),64,18,Bait,Terrence O'Hara,Laurence Walsh,14-Mar-06
NCIS,Season Season 3 (2005–06),65,19,Iced,Dennis Smith,Dana Coen,4-Apr-06
NCIS,Season Season 3 (2005–06),66,20,Untouchable,Leslie Libman,George Schenck & Frank Cardea,18-Apr-06
NCIS,Season Season 3 (2005–06),67,21,Bloodbath,Dennis Smith,Steven D. Binder,25-Apr-06
NCIS,Season Season 3 (2005–06),68,22,Jeopardy,James Whitmore Jr.,David J. North,2-May-06
NCIS,Season Season 3 (2005–06),69,23,Hiatus (Part I),Dennis Smith,Donald P. Bellisario,9-May-06
NCIS,Season Season 3 (2005–06),70,24,Hiatus (Part II),Dennis Smith,Donald P. Bellisario,16-May-06
NCIS,Season Season 4 (2006–07),71,1,Shalom,William Webb,Teleplay by : John C. Kelley,19-Sep-06
NCIS,Season Season 4 (2006–07),72,2,Escaped,Dennis Smith,Teleplay by : Steven D. Binder,26-Sep-06
NCIS,Season Season 4 (2006–07),73,3,Singled Out,Terrence O'Hara,David J. North,3-Oct-06
NCIS,Season Season 4 (2006–07),74,4,Faking It,Thomas J. Wright,Shane Brennan,10-Oct-06
NCIS,Season Season 4 (2006–07),75,5,Dead and Unburied,Colin Bucksey,Nell Scovell,17-Oct-06
NCIS,Season Season 4 (2006–07),76,6,Witch Hunt,James Whitmore Jr.,Steven Kriozere,31-Oct-06
NCIS,Season Season 4 (2006–07),77,7,Sandblast,Dennis Smith,Robert Palm,7-Nov-06
NCIS,Season Season 4 (2006–07),78,8,Once a Hero,Thomas J. Wright,Shane Brennan,14-Nov-06
NCIS,Season Season 4 (2006–07),79,9,Twisted Sister,Terrence O'Hara,Steven D. Binder,21-Nov-06
NCIS,Season Season 4 (2006–07),80,10,Smoked,Dennis Smith,John C. Kelley & Robert Palm,28-Nov-06
NCIS,Season Season 4 (2006–07),81,11,Driven,Dennis Smith,Teleplay by : Richard C. Arthur & Nell Scovell & John C. Kelley,12-Dec-06
NCIS,Season Season 4 (2006–07),82,12,Suspicion,Colin Bucksey,Shane Brennan,16-Jan-07
NCIS,Season Season 4 (2006–07),83,13,Sharif Returns,Terrence O'Hara,Steven D. Binder,23-Jan-07
NCIS,Season Season 4 (2006–07),84,14,Blowback,Thomas J. Wright,Teleplay by : Christopher Silber & David J. North & Shane Brennan,6-Feb-07
NCIS,Season Season 4 (2006–07),85,15,Friends & Lovers,Dennis Smith,John C. Kelley,13-Feb-07
NCIS,Season Season 4 (2006–07),86,16,Dead Man Walking,Colin Bucksey,Nell Scovell,20-Feb-07
NCIS,Season Season 4 (2006–07),87,17,Skeletons,James Whitmore Jr.,Jesse Stern,27-Feb-07
NCIS,Season Season 4 (2006–07),88,18,Iceman,Thomas J. Wright,Shane Brennan,20-Mar-07
NCIS,Season Season 4 (2006–07),89,19,Grace Period,James Whitmore Jr.,John C. Kelley,3-Apr-07
NCIS,Season Season 4 (2006–07),90,20,Cover Story,Dennis Smith,David J. North,10-Apr-07
NCIS,Season Season 4 (2006–07),91,21,Brothers in Arms,Martha Mitchell,Steven D. Binder,24-Apr-07
NCIS,Season Season 4 (2006–07),92,22,In the Dark,Thomas J. Wright,Steven D. Binder,1-May-07
NCIS,Season Season 4 (2006–07),93,23,Trojan Horse,Terrence O'Hara,Donald P. Bellisario & Shane Brennan,8-May-07
NCIS,Season Season 4 (2006–07),94,24,Angel of Death,Dennis Smith,Donald P. Bellisario,22-May-07
NCIS,Season Season 5 (2007–08),95,1,Bury Your Dead,Thomas J. Wright,Shane Brennan,25-Sep-07
NCIS,Season Season 5 (2007–08),96,2,Family,Martha Mitchell,Steven D. Binder,2-Oct-07
NCIS,Season Season 5 (2007–08),97,3,Ex-File,Dennis Smith,Alfonso H. Moreno,9-Oct-07
NCIS,Season Season 5 (2007–08),98,4,Identity Crisis,Thomas J. Wright,Jesse Stern,16-Oct-07
NCIS,Season Season 5 (2007–08),99,5,Leap of Faith,Dennis Smith,George Schenck & Frank Cardea,23-Oct-07
NCIS,Season Season 5 (2007–08),100,6,Chimera,Tony Wharmby,Dan E. Fesman,30-Oct-07
NCIS,Season Season 5 (2007–08),101,7,Requiem,Terrence O'Hara,Shane Brennan,6-Nov-07
NCIS,Season Season 5 (2007–08),102,8,Designated Target,Colin Bucksey,Reed Steiner,13-Nov-07
NCIS,Season Season 5 (2007–08),103,9,Lost & Found,Martha Mitchell,David J. North,20-Nov-07
NCIS,Season Season 5 (2007–08),104,10,Corporal Punishment,Arvin Brown,Jesse Stern,27-Nov-07
NCIS,Season Season 5 (2007–08),105,11,Tribes,Colin Bucksey,Reed Steiner,15-Jan-08
NCIS,Season Season 5 (2007–08),106,12,Stakeout,Tony Wharmby,George Schenck & Frank Cardea,8-Apr-08
NCIS,Season Season 5 (2007–08),107,13,Dog Tags,Oz Scott,Dan E. Fesman & Alfonso H. Moreno,15-Apr-08
NCIS,Season Season 5 (2007–08),108,14,Internal Affairs,Tony Wharmby,Jesse Stern & Reed Steiner,22-Apr-08
NCIS,Season Season 5 (2007–08),109,15,In the Zone,Terrence O'Hara,Linda Burstyn,29-Apr-08
NCIS,Season Season 5 (2007–08),110,16,Recoil,James Whitmore Jr.,Teleplay by : George Schenck & Frank Cardea,6-May-08
NCIS,Season Season 5 (2007–08),111,17,About Face,Dennis Smith,Teleplay by : Alfonso H. Moreno & Reed Steiner,13-May-08
NCIS,Season Season 5 (2007–08),112,18,Judgment Day (Part I),Thomas J. Wright,Steven D. Binder & David J. North,20-May-08
NCIS,Season Season 5 (2007–08),113,19,Judgment Day (Part II),Thomas J. Wright,Teleplay by : David J. North & Christopher J. Waild,20-May-08
NCIS,Season Season 6 (2008–09),114,1,Last Man Standing,Tony Wharmby,Shane Brennan,23-Sep-08
NCIS,Season Season 6 (2008–09),115,2,Agent Afloat,Thomas J. Wright,Dan E. Fesman & David J. North,30-Sep-08
NCIS,Season Season 6 (2008–09),116,3,Capitol Offense,Dennis Smith,George Schenck & Frank Cardea,7-Oct-08
NCIS,Season Season 6 (2008–09),117,4,Heartland,Tony Wharmby,Jesse Stern,14-Oct-08
NCIS,Season Season 6 (2008–09),118,5,Nine Lives,Dennis Smith,Linda Burstyn & Dan E. Fesman & David J. North,21-Oct-08
NCIS,Season Season 6 (2008–09),119,6,Murder 2.0,Arvin Brown,Steven D. Binder,28-Oct-08
NCIS,Season Season 6 (2008–09),120,7,Collateral Damage,Terrence O'Hara,Alfonso H. Moreno,11-Nov-08
NCIS,Season Season 6 (2008–09),121,8,Cloak,James Whitmore Jr.,Jesse Stern,18-Nov-08
NCIS,Season Season 6 (2008–09),122,9,Dagger,Dennis Smith,Reed Steiner & Christopher J. Waild,25-Nov-08
NCIS,Season Season 6 (2008–09),123,10,Road Kill,Thomas J. Wright,Steven Kriozere,2-Dec-08
NCIS,Season Season 6 (2008–09),124,11,Silent Night,Tony Wharmby,George Schenck & Frank Cardea,16-Dec-08
NCIS,Season Season 6 (2008–09),125,12,Caged,Leslie Libman,Alfonso H. Moreno,6-Jan-09
NCIS,Season Season 6 (2008–09),126,13,Broken Bird,James Whitmore Jr.,Jesse Stern,13-Jan-09
NCIS,Season Season 6 (2008–09),127,14,Love & War,Terrence O'Hara,Steven D. Binder & David J. North,27-Jan-09
NCIS,Season Season 6 (2008–09),128,15,Deliverance,Dennis Smith,Dan E. Fesman & Reed Steiner,10-Feb-09
NCIS,Season Season 6 (2008–09),129,16,Bounce,Arvin Brown,David J. North & Steven D. Binder,17-Feb-09
NCIS,Season Season 6 (2008–09),130,17,South by Southwest,Thomas J. Wright,George Schenck & Frank Cardea,24-Feb-09
NCIS,Season Season 6 (2008–09),131,18,Knockout,Tony Wharmby,Jesse Stern,17-Mar-09
NCIS,Season Season 6 (2008–09),132,19,Hide and Seek,Dennis Smith,Dan E. Fesman,24-Mar-09
NCIS,Season Season 6 (2008–09),133,20,Dead Reckoning,Terrence O'Hara,Teleplay by : Reed Steiner & Christopher J. Waild,31-Mar-09
NCIS,Season Season 6 (2008–09),134,21,Toxic,Thomas J. Wright,Steven D. Binder,7-Apr-09
NCIS,Season Season 6 (2008–09),135,22,Legend (Part I),Tony Wharmby,Shane Brennan,28-Apr-09
NCIS,Season Season 6 (2008–09),136,23,Legend (Part II),James Whitmore Jr.,Shane Brennan,5-May-09
NCIS,Season Season 6 (2008–09),137,24,Semper Fidelis,Tony Wharmby,Jesse Stern,12-May-09
NCIS,Season Season 6 (2008–09),138,25,Aliyah,Dennis Smith,David J. North,19-May-09
NCIS,Season Season 7 (2009–10),139,1,Truth or Consequences,Dennis Smith,Jesse Stern,22-Sep-09
NCIS,Season Season 7 (2009–10),140,2,Reunion,Tony Wharmby,Steven D. Binder,29-Sep-09
NCIS,Season Season 7 (2009–10),141,3,The Inside Man,Thomas J. Wright,George Schenck & Frank Cardea,6-Oct-09
NCIS,Season Season 7 (2009–10),142,4,"Good Cop, Bad Cop",Leslie Libman,Teleplay by : Jesse Stern,13-Oct-09
NCIS,Season Season 7 (2009–10),143,5,Code of Conduct,Terrence O'Hara,Teleplay by : Reed Steiner & Christopher J. Waild,20-Oct-09
NCIS,Season Season 7 (2009–10),144,6,Outlaws and In-Laws,Tony Wharmby,Jesse Stern,3-Nov-09
NCIS,Season Season 7 (2009–10),145,7,Endgame,James Whitmore Jr.,Gary Glasberg,10-Nov-09
NCIS,Season Season 7 (2009–10),146,8,Power Down,Thomas J. Wright,Steven D. Binder & David J. North,17-Nov-09
NCIS,Season Season 7 (2009–10),147,9,Child's Play,William Webb,Reed Steiner,24-Nov-09
NCIS,Season Season 7 (2009–10),148,10,Faith,Arvin Brown,Gary Glasberg,15-Dec-09
NCIS,Season Season 7 (2009–10),149,11,Ignition,Dennis Smith,Jesse Stern,5-Jan-10
NCIS,Season Season 7 (2009–10),150,12,Flesh and Blood,Arvin Brown,George Schenck & Frank Cardea,12-Jan-10
NCIS,Season Season 7 (2009–10),151,13,Jet Lag,Tony Wharmby,Christopher J. Waild,26-Jan-10
NCIS,Season Season 7 (2009–10),152,14,Masquerade,James Whitmore Jr.,Steven D. Binder,2-Feb-10
NCIS,Season Season 7 (2009–10),153,15,Jack-Knife,Dennis Smith,Jesse Stern,9-Feb-10
NCIS,Season Season 7 (2009–10),154,16,Mother's Day,Tony Wharmby,Gary Glasberg & Reed Steiner,2-Mar-10
NCIS,Season Season 7 (2009–10),155,17,Double Identity,Mark Horowitz,George Schenck & Frank Cardea,9-Mar-10
NCIS,Season Season 7 (2009–10),156,18,Jurisdiction,Terrence O'Hara,Lee David Zlotoff,16-Mar-10
NCIS,Season Season 7 (2009–10),157,19,Guilty Pleasure,James Whitmore Jr.,Reed Steiner & Christopher J. Waild,6-Apr-10
NCIS,Season Season 7 (2009–10),158,20,Moonlighting,Thomas J. Wright,Steven D. Binder & Jesse Stern,27-Apr-10
NCIS,Season Season 7 (2009–10),159,21,Obsession,Tony Wharmby,George Schenck & Frank Cardea,4-May-10
NCIS,Season Season 7 (2009–10),160,22,Borderland,Terrence O'Hara,Steven D. Binder,11-May-10
NCIS,Season Season 7 (2009–10),161,23,Patriot Down,Dennis Smith,Gary Glasberg,18-May-10
NCIS,Season Season 7 (2009–10),162,24,Rule Fifty-One,Dennis Smith,Jesse Stern,25-May-10
NCIS,Season Season 8 (2010–11),163,1,Spider and the Fly,Dennis Smith,Gary Glasberg,21-Sep-10
NCIS,Season Season 8 (2010–11),164,2,Worst Nightmare,Tony Wharmby,Steven D. Binder,28-Sep-10
NCIS,Season Season 8 (2010–11),165,3,Short Fuse,Leslie Libman,George Schenck & Frank Cardea,5-Oct-10
NCIS,Season Season 8 (2010–11),166,4,Royals and Loyals,Arvin Brown,Reed Steiner,12-Oct-10
NCIS,Season Season 8 (2010–11),167,5,Dead Air,Terrence O'Hara,Christopher J. Waild,19-Oct-10
NCIS,Season Season 8 (2010–11),168,6,Cracked,Tony Wharmby,Nicole Mirante-Matthews,26-Oct-10
NCIS,Season Season 8 (2010–11),169,7,Broken Arrow,Arvin Brown,George Schenck & Frank Cardea,9-Nov-10
NCIS,Season Season 8 (2010–11),170,8,Enemies Foreign,Dennis Smith,Jesse Stern,16-Nov-10
